"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,2241,"Cuyahoga","OH","Cleveland",25,110400,0,0.000906618313689937,0.0454545454545455,0.00797726783572705,-0.0184515462440978,"2006-02","2006-Q1",134400,-0.178571428571429,"1999-08"
2016-05-31,3165,"Hillsborough","FL","Tampa",26,175800,0.005720823798627,0.0173611111111111,0.0892193308550186,0.0818992913839693,-0.021553979325763,"2006-09","2006-Q3",222400,-0.209532374100719,"2005-06"
2016-05-31,2614,"Allegheny","PA","Pittsburgh",27,132600,0.00226757369614512,0.0091324200913242,0.0532168387609214,0.0330561359886619,0.0277992565261918,"2016-05","2016-Q2",132600,0,"2016-05"
2016-05-31,1950,"Oakland","MI","Detroit",28,204100,0.00196367206676485,0.0134061569016882,0.0520618556701031,0.0865022311878114,-0.00569683053801395,"2005-07","2005-Q3",220000,-0.0722727272727273,"2003-02"
2016-05-31,2288,"Franklin","OH","Columbus",29,139700,0.00215208034433285,0.0123188405797101,0.0729646697388633,0.024957575562812,-0.000925833562916756,"2006-05","2006-Q2",141000,-0.00921985815602837,"2005-10"
2016-05-31,2339,"Hennepin","MN","Minneapolis-St Paul",30,238500,0.00252206809583859,0.0127388535031847,0.0618878005342832,0.0482901304705652,-0.00272597578255751,"2007-02","2007-Q1",245300,-0.0277211577660008,"2005-04"
2016-05-31,1287,"Orange","FL","Orlando",31,191500,0.00736454497632825,0.0229700854700855,0.084985835694051,0.0861215549054704,-0.0292543882978807,"2006-07","2006-Q3",259700,-0.262610704659222,"2005-05"
2016-05-31,1694,"Fairfax","VA","Washington",32,506200,0.000790826413602214,0.00937188434695912,0.0119952019192323,0.0326876282312754,-0.00653483339349958,"2006-01","2006-Q1",549100,-0.0781278455654708,"2005-05"
2016-05-31,3159,"Contra Costa","CA","San Francisco",33,532500,0.00301375023544924,0.0112039498670718,0.0905181241040344,0.105224016142817,-0.0134309989747308,"2006-01","2006-Q1",615100,-0.134287107787352,"2005-01"
2016-05-31,2840,"Salt Lake","UT","Salt Lake City",34,242500,0.00330988829127017,0.015069066555044,0.0734838424081452,0.0465040759327839,0.0133889743765754,"2008-01","2008-Q1",275300,-0.119142753359971,"2006-12"
2016-05-31,1440,"Travis","TX","Austin",35,291500,0.00760456273764258,0.0274938315121607,0.0884988797610157,0.07879551393678,0.0449470809566446,"2016-05","2016-Q2",291500,0,"2016-05"
2016-05-31,3130,"Saint Louis","MO","St. Louis",36,162500,0.00061576354679803,0.0207286432160804,0.0655737704918033,0.0192825143176505,-0.00461892125858376,"2007-05","2007-Q2",180600,-0.100221483942414,"2005-01"
2016-05-31,281,"Pima","AZ","Tucson",37,170100,0.00413223140495868,0.0167364016736402,0.0448402948402948,0.0308864221146206,-0.0323781110600844,"2006-06","2006-Q2",236400,-0.280456852791878,"2004-12"
