"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,7481,"Tucson","AZ","Tucson","Pima",24,151300,0.00265076209410205,0.0113636363636364,0.044168391994479,0.0298622761138412,-0.03220661583913,"2006-06","2006-Q2",209900,-0.279180562172463,"2004-11"
2016-05-31,13373,"Portland","OR","Portland","Multnomah",25,371800,0.0117006802721088,0.0394185071288789,0.197423510466989,0.098726081777559,0.0325872161689187,"2016-05","2016-Q2",371800,0,"2016-05"
2016-05-31,33225,"Oklahoma City","OK","Oklahoma City","Oklahoma",26,129400,0.00232378001549187,0.0125195618153365,0.0589198036006547,0.0272930128930093,0.02258494055922,"2016-05","2016-Q2",129400,0,"2016-05"
2016-05-31,40152,"Omaha","NE","Omaha","Douglas",27,141600,-0.000705716302046577,0.00639658848614072,0.0512249443207127,0.022163399716892,0.0064368222910316,"2016-04","2016-Q2",141700,-0.000705716302046577,"2016-04"
2016-05-31,23429,"Albuquerque","NM","Albuquerque","Bernalillo",28,170300,0,0.00709639266706091,0.0265220012055455,0.00260389370847869,-0.00379508175518928,"2007-10","2007-Q4",199700,-0.14722083124687,"2006-03"
2016-05-31,18203,"Fresno","CA","Fresno","Fresno",29,192900,0.00573514077163712,0.0179419525065963,0.0616400660429279,0.0760691087724192,-0.0388180554230122,"2006-05","2006-Q2",286600,-0.326936496859735,"2004-06"
2016-05-31,20288,"Sacramento","CA","Sacramento","Sacramento",30,272200,0.00889547813194959,0.0310606060606061,0.134166666666667,0.125226045592933,-0.0242391947507018,"2006-01","2006-Q1",352700,-0.228239296852849,"2004-07"
2016-05-31,19331,"Mesa","AZ","Phoenix","Maricopa",31,204400,0.00640078778926637,0.0199600798403194,0.0959785522788204,0.105482951442603,-0.0181549849425017,"2006-04","2006-Q2",245800,-0.168429617575264,"2005-07"
2016-05-31,46298,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",32,519700,0.0046394741929248,0.0200196270853778,0.0793354101765317,0.0699647260613678,-0.00631709292057059,"2006-07","2006-Q3",556900,-0.0667983479978452,"2005-09"
2016-05-31,18795,"Kansas City","MO","Kansas City","Jackson",33,109900,0.00457038391224863,0.0157116451016636,0.0701071080817916,0.00312276470213324,-0.034915893697254,"2007-07","2007-Q3",160100,-0.313554028732042,"1998-10"
2016-05-31,41515,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",34,250100,0.00240480961923848,0.00603378921962993,0.0195678760701182,0.0102221859041356,-0.00813998042322084,"2007-04","2007-Q2",276200,-0.0944967414916727,"2005-08"
2016-05-31,4172,"Colorado Springs","CO","Colorado Springs","El Paso",35,228800,0.00837373292199207,0.0223413762287757,0.0701590271281572,0.0421780678389181,0.0142562150235912,"2016-05","2016-Q2",228800,0,"2016-05"
2016-05-31,37211,"Atlanta","GA","Atlanta","Fulton",36,190600,0.00899947061937533,0.0325027085590466,0.1068524970964,0.0749418325238791,-0.0037514318703713,"2006-04","2006-Q2",198000,-0.0373737373737374,"2005-11"
2016-05-31,12700,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",37,289700,0.00660180681028492,0.0115223463687151,0.0635095447870778,0.112499731316542,-0.0182531825688129,"2007-03","2007-Q1",374200,-0.225815072153928,"2005-06"
2016-05-31,13072,"Oakland","CA","San Francisco","Alameda",38,610400,0.00543567781255147,0.0255376344086021,0.163775023832221,0.14335395912832,0.0126491779983862,"2016-05","2016-Q2",610400,0,"2016-05"
